"Bevolking; kerncijfers"
"Onderwerpen";"Bevolking naar leeftijd (op 1 januari)";"Bevolking naar leeftijd (op 1 januari)";"Bevolking naar leeftijd (op 1 januari)";"Bevolking naar leeftijd (op 1 januari)";"Bevolking naar leeftijd (op 1 januari)"
"Onderwerpen";"Bevolking naar leeftijd, aantallen";"Bevolking naar leeftijd, aantallen";"Bevolking naar leeftijd, aantallen";"Bevolking naar leeftijd, aantallen";"Bevolking naar leeftijd, aantallen"
"Onderwerpen";"Jonger dan 20 jaar";"20 tot 40 jaar";"40 tot 65 jaar";"65 tot 80 jaar";"80 jaar of ouder"
"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal"
"1950";"3742499";"2951369";"2562311";"670995";"99599"
"1960";"4331042";"3098779";"2968611";"864423";"154399"
"1970";"4657606";"3650362";"3338678";"1089232";"221743"
"1980";"4431785";"4441579";"3602326";"1303447";"311877"
"1990";"3822205";"4912128";"4252617";"1477909";"427715"
"2000";"3873008";"4761504";"5076996";"1652103";"500339"
"2010";"3928334";"4192772";"5915555";"1890334";"647994"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 10-10-2017"
